run,cell,model_tag,family,size_label,quantization,temperature,seed,recognizer,item_id,category,safety_critical_item,filename,ori_text,stt_text,llm_text,reference_answer,answer_unsupported,constraint_item_pass_strict,constraint_item_pass_loose,constraint_check_rate_strict,constraint_check_rate_loose,constraint_failures_strict,constraint_failures_loose,word_count,sentence_count,char_count,mean_words_per_sentence,opening_words,estimated_tokens,estimated_spoken_seconds,flesch_reading_ease,flesch_kincaid_grade,stt_wer,stt_cer,stt_ref_words,stt_word_errors,stt_substitutions,stt_deletions,stt_insertions,stt_exact_match,stt_content_recall,stt_stratum,request_coverage,echo_ratio,intent_coverage,coverage_intent_gap,reference_token_f1,answer_presence,reference_exact_match,reference_answer_words,reference_rouge_1,reference_rouge_l,audit_atoms,quality_composite,safety_minimum,accepted,acceptance_reasons,input_duration_ms,lat_e2e_response_ready,lat_llm_eval,lat_llm_first_chunk_fill,lat_llm_prompt_eval,lat_llm_ttfc,lat_llm_ttft,lat_stt,lat_stt_endpoint_delay,lat_ttfa,lat_tts_first_chunk,lat_tts_total,llm_chunk_count,llm_eval_tokens,llm_prompt_tokens,llm_tokens_per_sec,stt_rtf,trailing_silence_ms,tts_audio_ms
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00612,unspecified,False,00612.wav,What type of school has surpassed comprehensive schools in Ireland?,what is the main reason consulting pharmacists are increasingly working directly with patients,They're providing more personalized care.,community school,False,True,True,1.0,1.0,,,5,1,41,5.0,5,7,2.0,32.56,9.96,1.2,1.0152,10.0,12.0,9.0,0.0,3.0,False,0.0,severe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,9766.0,9896.0,104.0,90.0,28.0,932.0,842.0,9821.0,962.0,2036.0,137.0,137.0,1.0,8.0,325.0,76.3,1.0,2310.0,2252.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00616,unspecified,False,00616.wav,What does not imply a religious affiliation?,what does not imply a religious affiliation,A lack of specific references to religion.,The assignment of countries or areas to specific groupings,True,False,False,0.8889,0.8889,opener_at_most_five_words,opener_at_most_five_words,7,1,42,7.0,7,9,2.8,42.62,9.05,0.0,0.0,7.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.0,0.0,0.0,0.0,0.4286,0.0,0.0,8.0,0.375,0.2785,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6492.0,6707.0,120.0,106.0,26.0,996.0,890.0,6560.0,937.0,2081.0,144.0,144.0,1.0,9.0,318.0,75.0,1.0,1916.0,2449.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00626,unspecified,False,00626.wav,What kinds of telecommunications were cut?,what kind of telecommunications cut,Cellular networks provide most cuts.,mobile and terrestrial,False,True,True,1.0,1.0,,,5,1,36,5.0,5,7,2.0,49.48,7.6,0.3333,0.1463,6.0,2.0,1.0,1.0,0.0,False,1.0,mild,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,5261.0,5397.0,68.0,62.0,20.0,958.0,896.0,5318.0,948.0,2076.0,166.0,166.0,1.0,8.0,316.0,116.5,1.0,2189.0,2321.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00628,unspecified,False,00628.wav,How many years was Ye Zhiping involved in the school overhaul?,how many years was he jus paying involved in the school overhaul,"I couldn't quite catch that, can you repeat?",three-year period,False,False,False,0.8,0.8,opener_at_most_five_words;opener_ends_with_full_stop,opener_at_most_five_words;opener_ends_with_full_stop,8,1,44,8.0,8,11,3.2,103.54,0.8,0.2727,0.1148,11.0,3.0,2.0,0.0,1.0,False,0.6667,mild,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,"constraint violation: opener_at_most_five_words, opener_ends_with_full_stop",9000.0,9135.0,150.0,139.0,28.0,1010.0,871.0,9065.0,1155.0,2301.0,131.0,131.0,1.0,12.0,323.0,79.5,1.0,2536.0,2426.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00639,unspecified,False,00639.wav,How many octaves does Beyoncé's voice span?,how many octaves does beyond say his voice span,Beyond's vocal range is approximately three and a half octaves.,four,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,10,1,63,10.0,10,13,4.0,44.41,9.55,0.4286,0.1951,7.0,3.0,1.0,0.0,2.0,False,0.75,severe,0.3974,0.2857,0.2481,-0.1493,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7606.0,7741.0,163.0,158.0,27.0,1011.0,853.0,7672.0,823.0,2042.0,204.0,204.0,1.0,14.0,321.0,85.7,1.0,2710.0,3366.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00640,unspecified,False,00640.wav,How much did Dell spend to construct a new plant in India?,how much did del spend to construct a new plant in india,I couldn't find any information on a person named Del spending money to construct a new plant in India. Can you please provide more context or clarify who Del is?,$60 million,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,30,2,162,15.0,19,40,12.0,73.17,6.78,0.0833,0.0175,12.0,1.0,1.0,0.0,0.0,False,0.8333,mild,1.0,0.4375,0.844,-0.156,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6933.0,7274.0,414.0,248.0,29.0,1076.0,828.0,7029.0,949.0,2310.0,279.0,437.0,2.0,34.0,323.0,82.1,1.0,2165.0,8614.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00643,unspecified,False,00643.wav,Who wrote Seven Lamps of Architecture?,the rhine forms and england delta into which lake,The Rhine River does not form a delta in England.,John Ruskin,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,10,1,49,10.0,10,13,4.0,86.71,3.65,1.5,0.973,6.0,9.0,6.0,0.0,3.0,False,0.0,severe,0.7847,0.8,0.0,-0.7847,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['The Rhine River'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,7630.0,7934.0,177.0,167.0,29.0,993.0,826.0,7699.0,989.0,2139.0,154.0,154.0,1.0,13.0,322.0,73.3,1.0,1902.0,2438.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00653,unspecified,False,00653.wav,Why did this author embrace young adult literature as a grownup?,why did this author embrace young adult literature as a grown up,"Some authors transition to writing YA because it allows them to explore themes and characters that are relevant to younger readers, often drawing from their own life experiences.",to re-experience the emotional psychology she experienced as a child,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,28,1,178,28.0,28,37,11.2,42.45,14.29,0.1818,0.0159,11.0,2.0,1.0,0.0,1.0,False,0.8333,mild,0.1354,0.0588,0.1579,0.0225,0.0541,0.0,0.0,9.0,0.1111,0.0596,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,8305.0,8440.0,329.0,264.0,29.0,1135.0,871.0,8372.0,-934.0,551.0,347.0,446.0,2.0,31.0,323.0,94.2,1.0,945.0,9311.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00656,unspecified,False,00656.wav,Who asked her to change her mind about the soft drink deal due to the nature of the product?,who asked her to change her mind about the soft drink deal due to the nature of the product,I couldn't find any information on that specific request. Can you please clarify who asked her to make this decision?,The Center for Science in the Public Interest (CSPINET),False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,20,2,117,10.0,9,27,8.0,69.79,6.01,0.0,0.0,19.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.1857,0.2222,0.1857,0.0,0.0,0.0,0.0,7.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,10602.0,10769.0,269.0,139.0,33.0,994.0,855.0,10699.0,828.0,2000.0,174.0,302.0,2.0,24.0,330.0,89.1,1.0,3306.0,6420.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00657,unspecified,False,00657.wav,Who rents the land on which Irish comprehensive schools are found?,what is the main difference between online pharmacies and community pharmacies,"The main difference is location. Online pharmacies are located outside your local area, while community pharmacies are typically located within it.",The state,True,True,True,1.0,1.0,,,21,2,147,10.5,5,28,8.4,22.95,12.67,0.9091,0.9077,11.0,10.0,10.0,0.0,0.0,False,0.0,severe,0.8472,0.4,0.0,-0.8472,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,8466.0,8922.0,269.0,79.0,28.0,958.0,879.0,8545.0,1018.0,2139.0,160.0,489.0,2.0,25.0,322.0,92.7,1.0,2066.0,8068.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00669,unspecified,False,00669.wav,In what year did Vasco da Gama sail around India and Africa?,in what year did a vasco da gama sail around india and africa,Vasco da Gama sailed around India and Africa between 1497 and 1499.,1498,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,12,1,67,12.0,12,16,4.8,74.81,5.81,0.0833,0.0339,12.0,1.0,0.0,0.0,1.0,False,1.0,mild,0.9089,0.7,0.9089,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': ['1497', '1499'], 'quantities': [], 'name_spans': [], 'atom_count': 2}",,,False,constraint violation: opener_at_most_five_words,8605.0,8753.0,227.0,232.0,29.0,1141.0,909.0,8674.0,877.0,2364.0,342.0,342.0,1.0,20.0,326.0,88.0,1.0,2557.0,7453.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00670,unspecified,False,00670.wav,What school did Dell go to and later drop out of while he ran his business?,what school did del go to and later drop out of while he ran his business,I couldn't find any information on a person named Del who dropped out of school to run a business.,University of Texas at Austin,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,19,1,98,19.0,19,25,7.6,76.23,7.35,0.0625,0.0135,16.0,1.0,1.0,0.0,0.0,False,0.9,mild,0.378,0.3636,0.2859,-0.0922,0.0909,0.0,0.0,5.0,0.2,0.1008,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,8094.0,8246.0,248.0,240.0,29.0,1139.0,899.0,8168.0,990.0,2416.0,283.0,283.0,1.0,22.0,327.0,88.5,1.0,2366.0,5154.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00673,unspecified,False,00673.wav,What PS3 exclusives launched in 2006 that the the Xbox 360 did not have access to?,what p s three exclusives launched in two thousand and six that the x box three sixty did not have access to,"Three exclusive games launched in 2006 that Xbox 360 did not have access to are Gears of War, Mass Effect, and Fable II.","Devil May Cry, Ace Combat, Virtua Fighter, Grand Theft Auto IV, Final Fantasy XIII, Tekken 6, Metal Gear Solid : Rising, and L.A. Noire",True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,23,1,120,23.0,23,31,9.2,87.86,6.72,0.2857,0.4512,21.0,6.0,3.0,1.0,2.0,False,0.4286,mild,0.3174,0.2143,0.6961,0.3788,0.0435,0.0,0.0,23.0,0.0435,0.0435,"{'years': ['2006'], 'quantities': ['360'], 'name_spans': ['Mass Effect'], 'atom_count': 3}",,,False,constraint violation: opener_at_most_five_words,9441.0,10219.0,350.0,337.0,32.0,1297.0,960.0,9545.0,964.0,2694.0,428.0,428.0,1.0,32.0,334.0,91.4,1.0,1985.0,9264.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00686,unspecified,False,00686.wav,What did the American studies program hope to instruct?,what did the american studies program hope to instruct,"The American Studies program aimed to provide a comprehensive understanding of American history, culture, and society, with an emphasis on critical thinking and analytical skills.",fundamentals of American civilization,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,25,1,179,25.0,25,33,10.0,-1.28,19.65,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.5793,0.25,0.5793,0.0,0.1538,0.0,0.0,4.0,0.5,0.1758,"{'years': [], 'quantities': [], 'name_spans': ['The American Studies'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,6982.0,7650.0,309.0,250.0,24.0,1075.0,825.0,7049.0,-3328.0,-1874.0,374.0,475.0,2.0,30.0,320.0,96.9,1.0,-2362.0,10402.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00692,unspecified,False,00692.wav,When did Hurricane Sandy strike New York?,when did hurricane sandy straight new york,"Hurricane Sandy made landfall on October 29th, 2012.","October 29, 2012",False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,9,1,52,9.0,9,12,3.6,75.5,4.96,0.1429,0.1,7.0,1.0,1.0,0.0,0.0,False,0.8,mild,0.4104,0.25,0.4059,-0.0046,0.5,0.0,0.0,3.0,1.0,0.5495,"{'years': ['2012'], 'quantities': [], 'name_spans': ['Hurricane Sandy'], 'atom_count': 2}",,,False,constraint violation: opener_at_most_five_words,6770.0,6930.0,196.0,205.0,26.0,1114.0,909.0,6857.0,1115.0,2450.0,217.0,217.0,1.0,17.0,318.0,86.3,1.0,2866.0,4214.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00714,unspecified,False,00714.wav,What weather factor provides little in heat relief in Houston?,what weather factor provides little in heat believe in houston,Humidity is a major factor.,Winds,False,True,True,1.0,1.0,,,5,1,27,5.0,5,7,2.0,32.56,9.96,0.1,0.0492,10.0,1.0,1.0,0.0,0.0,False,0.8571,mild,0.1402,0.3333,0.1377,-0.0025,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,7885.0,8021.0,104.0,92.0,28.0,942.0,850.0,7978.0,841.0,1909.0,122.0,122.0,1.0,8.0,322.0,76.5,1.0,2285.0,1787.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00737,unspecified,False,00737.wav,How many firefighters died in the World Trade Center attack?,what type of electric current is needed for electrolysis,DC current is typically used for electrolysis.,343,False,False,False,0.8889,0.8889,opener_at_most_five_words,opener_at_most_five_words,7,1,46,7.0,7,9,2.8,18.44,12.43,1.0,0.7797,10.0,10.0,9.0,1.0,0.0,False,0.0,severe,0.3924,0.4,0.0,-0.3924,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7699.0,7819.0,132.0,124.0,29.0,1016.0,892.0,7739.0,943.0,2135.0,172.0,172.0,1.0,10.0,321.0,75.7,1.0,2419.0,2972.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00739,unspecified,False,00739.wav,Where did researchers study chimps in heavily forested regions?,what is a major reason judges years morality against crime,A major reason judges consider years of morality when sentencing against crime is to reflect on an offender's level of remorse and rehabilitation potential.,Ouesso district,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,24,1,156,24.0,24,32,9.6,20.33,16.39,1.1111,0.7419,9.0,10.0,9.0,0.0,1.0,False,0.0,severe,1.0,0.4667,0.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7188.0,8260.0,272.0,243.0,27.0,1049.0,806.0,7259.0,1052.0,2449.0,343.0,418.0,2.0,27.0,321.0,99.2,1.0,1524.0,9496.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00744,unspecified,False,00744.wav, In what environment were many of the latest human settlements?,what is the average discharge of the marcel to their neck her,"I couldn't find any information on the ""marcel"" being a device that has an average discharge to its neck. Could you please clarify what you mean by ""the marcel""?",urbanization,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,29,2,161,14.5,19,39,11.6,75.43,6.34,1.0,0.7213,10.0,10.0,8.0,0.0,2.0,False,0.0,severe,0.819,0.4545,0.0,-0.819,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,8140.0,9041.0,407.0,267.0,29.0,1115.0,848.0,8203.0,1049.0,2478.0,310.0,432.0,2.0,38.0,324.0,93.3,1.0,1772.0,8370.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00758,unspecified,False,00758.wav,What was the most rare life on earth?,what was the most rare life on earth,"The most rare life form on Earth is likely to be the coelacanth, which was thought to have been extinct for millions of years until it was rediscovered in 1938.",Lystrosaurus,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,30,1,160,30.0,30,40,12.0,66.41,11.45,0.0,0.0,8.0,0.0,0.0,0.0,0.0,True,1.0,clean,1.0,0.2308,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': ['1938'], 'quantities': [], 'name_spans': [], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,5911.0,6084.0,423.0,357.0,29.0,1265.0,908.0,6043.0,956.0,2546.0,320.0,419.0,2.0,39.0,319.0,92.1,1.0,2551.0,9113.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00778,unspecified,False,00778.wav,"What word does ""Bey Hive"" derive from?",what word does bay hi the derive from,"I couldn't quite understand that. Is it ""bay"" as in Bay, the chemical element?",beehive,False,True,True,1.0,1.0,,,14,2,78,7.0,5,19,5.6,78.87,4.0,0.4286,0.1143,7.0,3.0,2.0,0.0,1.0,False,0.5,severe,0.311,0.2857,0.0,-0.311,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,6770.0,6908.0,243.0,96.0,26.0,948.0,852.0,6834.0,935.0,2009.0,120.0,249.0,2.0,21.0,319.0,86.1,1.0,2482.0,4330.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00785,unspecified,False,00785.wav,How many committees are appointed by the board of directors at Dell?,how many committees are appointed by the board of directors at dell,I couldn't find specific information on the number of committees appointed by the board of directors at Dell.,five,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,18,1,109,18.0,18,24,7.2,52.27,10.44,0.0,0.0,12.0,0.0,0.0,0.0,0.0,True,1.0,clean,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6654.0,7117.0,232.0,223.0,32.0,1095.0,872.0,6733.0,1013.0,2340.0,227.0,227.0,1.0,21.0,323.0,90.5,1.0,1950.0,5212.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00794,unspecified,False,00794.wav,What did modernizing the government structures do to the Low Countries status?,what did modernizing the government structure is due to the low countries status,"Modernizing the government structure was largely due to the Netherlands' status as a major trading nation and its need to adapt to new economic and political realities, particularly after gaining independence from Spain in 1568.",unified the Seventeen Provinces,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,35,1,228,35.0,35,47,14.0,11.78,20.31,0.25,0.0519,12.0,3.0,2.0,0.0,1.0,False,0.8333,mild,0.713,0.2381,0.484,-0.229,0.0,0.0,0.0,3.0,0.0,0.0,"{'years': ['1568'], 'quantities': [], 'name_spans': [], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,8001.0,8969.0,412.0,255.0,24.0,1110.0,855.0,8083.0,1073.0,2487.0,300.0,567.0,2.0,42.0,325.0,101.8,1.0,1857.0,14280.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00801,unspecified,False,00801.wav,"In France, what were the central doctrines of the Lumieres?",in france what were the central doctrines of a linear years,"I couldn't find any information on ""linear years"" being a doctrine in France. Can you please clarify what you mean by ""linear years""?",individual liberty and religious tolerance,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,23,2,133,11.5,13,31,9.2,81.14,4.8,0.3,0.193,10.0,3.0,2.0,0.0,1.0,False,0.75,mild,0.5644,0.4545,0.2364,-0.328,0.0,0.0,0.0,5.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6933.0,7041.0,391.0,211.0,28.0,1078.0,867.0,6994.0,586.0,1894.0,224.0,345.0,2.0,30.0,322.0,76.7,1.0,2293.0,7024.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00819,unspecified,False,00819.wav,In what decade was Mendip Rail built?,and what decade was men det rail built,"I couldn't quite catch that, could you please repeat?",1970s,True,False,False,0.8,0.8,opener_at_most_five_words;opener_ends_with_full_stop,opener_at_most_five_words;opener_ends_with_full_stop,9,1,53,9.0,9,12,3.6,103.7,1.03,0.4286,0.1389,7.0,3.0,2.0,0.0,1.0,False,0.75,severe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,"constraint violation: opener_at_most_five_words, opener_ends_with_full_stop",5681.0,6106.0,167.0,157.0,29.0,1076.0,919.0,5757.0,-1581.0,-353.0,148.0,148.0,1.0,13.0,319.0,77.6,1.0,-719.0,2821.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00822,unspecified,False,00822.wav,On what film was videoconferencing widely used?,on what film was video conferencing widely used,"Video conferencing was first widely used on the 1964 film ""Seven Up"".",Frozen,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,12,1,69,12.0,12,16,4.8,67.76,6.79,0.2857,0.0217,7.0,2.0,1.0,0.0,1.0,False,0.75,mild,1.0,0.5556,0.7056,-0.2944,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': ['1964'], 'quantities': [], 'name_spans': ['Seven Up'], 'atom_count': 2}",,,False,constraint violation: opener_at_most_five_words,6260.0,6655.0,208.0,199.0,27.0,1151.0,952.0,6329.0,800.0,2188.0,232.0,232.0,1.0,18.0,320.0,86.5,1.0,1844.0,4713.0
03 llama3.2:3b-q4_K_M t0,03-llama3_2_3b_instruct_q4_K_M-t0_0-vosk_cpu,llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,0.0,,vosk-small-en-us-0.15-cpu,00827,unspecified,False,00827.wav,Why is calculating the days of the Gregorian calendar not simple?,why is calculating the days of the gregorian calendar not simple,"Calculating the days of the Gregorian calendar can be complex because it has rules to account for leap years and irregularities in month lengths, making it more challenging than other calendars.",irregularities,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,31,1,194,31.0,31,41,12.4,30.73,16.67,0.0,0.0,11.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.7917,0.2941,0.7917,0.0,0.0667,1.0,0.0,1.0,1.0,0.0802,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7258.0,7625.0,426.0,286.0,26.0,1142.0,856.0,7325.0,1090.0,2508.0,273.0,377.0,2.0,37.0,324.0,86.8,1.0,2330.0,9972.0
